Name,Email,Phone,Status,Date
mission,mission,sandeshbikramthapa@gmail.com,989897,active,2022-12-12
sandesh,sandeshbikramthapa@gmail.com,7787767,active,2022-12-12
mission,mission@gmail.com,2443,active,2022-12-12
ram,ram@gmail.com,543345,active,2022-12-12
m,m@gmail.com,78678,a,2022-12-12
hello,mission@gmail.com,2243,a,2022-12-12
m1,m1@gmail.com,235,active,2022-12-12
rgreg,jhj@gmail.com,245243,a,2022-12-12
mission1,m@gmail.com,25435,a,2022-12-12
mission1,ewretwt,4543,a,2022-12-12
mission@,mission@gmail.com,345,active,2022-12-12
h,h@gmail.com,425435,active,2022-12-12
